codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,presupuesto_total,provincia_ine,municipio_ine,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024,presupuesto_per_capita
1302,Gobierno Autónomo Municipal de Quillacollo,Cochabamba,municipal,GAM,315423173.0,Quillacollo,Quillacollo,104206.0,137182.0,166741.0,80383.0,86358.0,1891.6953418775227
1303,Gobierno Autónomo Municipal de Sipe Sipe,Cochabamba,municipal,GAM,70839127.0,Quillacollo,Sipesipe,31337.0,41571.0,55908.0,26687.0,29221.0,1267.066019174358
1304,Gobierno Autónomo Municipal de Tiquipaya,Cochabamba,municipal,GAM,128326653.0,Quillacollo,Tiquipaya,37791.0,53904.0,61840.0,29805.0,32035.0,2075.139925614489
1305,Gobierno Autónomo Municipal de Vinto,Cochabamba,municipal,GAM,81379151.0,Quillacollo,Vinto,31489.0,51968.0,56064.0,26947.0,29117.0,1451.5402218892693
1306,Gobierno Autónomo Municipal de Colcapirhua,Cochabamba,municipal,GAM,136788496.0,Quillacollo,Colcapirhua,41980.0,51990.0,66505.0,32204.0,34301.0,2056.815216900985
1307,Gobierno Autónomo Municipal de Aiquile,Cochabamba,municipal,GAM,25748151.0,Campero,Aiquile,26281.0,23267.0,23123.0,11513.0,11610.0,1113.5298620421227
1308,Gobierno Autónomo Municipal de Pasorapa,Cochabamba,municipal,GAM,6595000.0,Campero,Pasorapa,4659.0,6853.0,6475.0,3504.0,2971.0,1018.5328185328185
1309,Gobierno Autónomo Municipal de Omereque,Cochabamba,municipal,GAM,8441040.0,Campero,Omereque,6071.0,5643.0,6700.0,3422.0,3278.0,1259.8567164179105
1310,Gobierno Autónomo Municipal de Independencia,Cochabamba,municipal,GAM,25066704.0,Ayopaya,Ayopaya,26825.0,23658.0,21815.0,11551.0,10264.0,1149.0581709832684
1311,Gobierno Autónomo Municipal de Morochata,Cochabamba,municipal,GAM,24730065.0,Ayopaya,Morochata,17073.0,12797.0,14720.0,7552.0,7168.0,1680.031589673913
1312,Gobierno Autónomo Municipal de Sacaba,Cochabamba,municipal,GAM,330508349.0,Chapare,Sacaba,117100.0,172466.0,219092.0,106199.0,112893.0,1508.5368201486133
1313,Gobierno Autónomo Municipal de Colomi,Cochabamba,municipal,GAM,20489492.0,Chapare,Colomi,17372.0,19285.0,21846.0,11140.0,10706.0,937.9058866611737
1314,Gobierno Autónomo Municipal de Villa Tunari,Cochabamba,municipal,GAM,106261435.0,Chapare,Villa Tunari,52886.0,71386.0,93747.0,50362.0,43385.0,1133.4915783971753
1315,Gobierno Autónomo Municipal de Punata,Cochabamba,municipal,GAM,62651031.0,Punata,Punata,26140.0,28887.0,35248.0,16528.0,18720.0,1777.4350601452566
1316,Gobierno Autónomo Municipal de Villa Rivero,Cochabamba,municipal,GAM,8682894.0,Punata,Villa Rivero,5857.0,8135.0,8599.0,4197.0,4402.0,1009.7562507268287
1317,Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza),Cochabamba,municipal,GAM,25297045.0,Punata,San Benito,12720.0,13562.0,13054.0,6370.0,6684.0,1937.8768959705837
