DEPARTAMEN,PROVINCIA,MUNICIPIO,CAPITAL,F_LEY_PROV,LEY_MUN,F_LEY_MUN,X,Y,MUN_ALTERN,PIB_USD2017,POB_ESTIMADA,POP_WORLDPOP_PONDERADOR,CELDAS_INTERSECTADAS,PIBPC_USD2017
Cochabamba,Esteban Arze,Sacabamba,Sacabamba,1950-11-10,1195,1990-11-01,-65.786263981,-17.7764392712,Sacabamba,12495451.462231832,6989.558020935656,4643.874664325005,4,1787.7312735375406
Cochabamba,Esteban Arze,Anzaldo,Villa de Anzaldo,1950-11-10,ML,1914-11-24,-65.9166998216,-17.8436630605,Anzaldo,20298442.670352474,11016.422877747866,7359.085406918253,5,1842.5620453762185
Cochabamba,Germán Jordán,Toco,Toco,1945-11-13,CSDL,1956-04-03,-65.9204866923,-17.6474732512,Toko,19797162.7319644,6838.797151367369,6122.542551468498,1,2894.8311075444158
Cochabamba,Punata,Villa Gualberto Villarroel,Villa Gualberto Villarroel,1872-01-24,904,1986-12-11,-65.7710675441,-17.6900107349,Cuchumuela (V. G.Villarroel),10004504.486946754,3627.19155699564,3157.9451539511792,2,2758.1957913558244
Cochabamba,Punata,Tacachi,Tacachi,1872-01-24,531,1983-02-04,-65.7885213397,-17.6380003189,Tacachi,4934438.234065651,1706.4931902043961,1526.7608268494077,2,2891.5663199773016
Cochabamba,Punata,Villa Rivero,Villa Rivero,1872-01-24,ML,1915-10-12,-65.8527767361,-17.6482572313,Villa Rivero,26509591.658323005,9157.560725817322,8198.45273525374,1,2894.8311075444158
Cochabamba,Germán Jordán,Cliza,Cliza,1945-11-13,ML,1914-11-24,-65.9366933103,-17.5819403873,Cliza,76724120.07844546,26503.832945034177,23727.980431549935,1,2894.8311075444158
Cochabamba,Arque,Tacopaya,Tacopaya,1908-10-01,CSL,1941-09-30,-66.6258990692,-17.826511966,Tacopaya,24139999.564125538,10773.660052485526,10965.484776223428,5,2240.6498299114555
Oruro,Cercado,El Choro,El Choro,1868-10-07,576,1983-10-20,-67.1747060493,-18.2642337695,El Choro,13406947.875092614,5868.549741887114,6100.149401964547,8,2284.5419166169363
Oruro,Saucarí,Toledo,Toledo,1963-11-23,262,1963-11-23,-67.4132013067,-18.2756280455,Toledo,30483147.232490417,11294.577036296316,8476.664509369068,11,2698.9188824450534
