status,departamento,municipio,match_key,pib_col,pib_value,old_pop_col,old_pop_value,pob_2012,pob_2024,pob_retro_2021,pibpc_retro_2021
ok,Oruro,Oruro,oruro|oruro,PIB_USD2017,957017726.239944,POB_ESTIMADA,328543.900498723,264943,298350,289622.7307539047,3304.359860666915
ok,Oruro,Huayllamarca,oruro|huayllamarca,PIB_USD2017,10804427.176109854,POB_ESTIMADA,5821.412948493593,5502,5996,5868.489942853935,1841.0915382527687
ok,La Paz,San Pedro de Curahuara,la paz|san pedro de curahuara,PIB_USD2017,18411825.7805611,POB_ESTIMADA,10473.880104943017,8858,9217,9125.908490668191,2017.533465231252
ok,Cochabamba,Sicaya,cochabamba|sicaya,PIB_USD2017,8125337.145729522,POB_ESTIMADA,2820.4956259369783,3740,3980,3918.5934174406993,2073.5341180245027
ok,Santa Cruz,Puerto Quijarro,santa cruz|puerto quijarro,PIB_USD2017,70304806.78317973,POB_ESTIMADA,11875.622848984896,16659,17974,17635.825178079154,3986.476735467228
ok,Cochabamba,Capinota,cochabamba|capinota,PIB_USD2017,65552408.38541485,POB_ESTIMADA,23134.4095062428,19477,19427,19439.48795368594,3372.1262896220164
ok,Cochabamba,Arque,cochabamba|arque,PIB_USD2017,24825421.12240268,POB_ESTIMADA,9318.97529700446,10597,10632,10623.239177503272,2336.897504385972
ok,Oruro,Yunguyo del Litoral,oruro|yunguyo del litoral,PIB_USD2017,1982172.2009017847,POB_ESTIMADA,530.2556530687224,514,875,766.0318366874046,2587.584622426929
ok,Oruro,Huachacalla,oruro|huachacalla,PIB_USD2017,3769757.442326828,POB_ESTIMADA,1008.4568805789312,1003,4011,2836.382059509577,1329.0725167605367
ok,Oruro,Esmeralda,oruro|esmeralda,PIB_USD2017,8282857.794179285,POB_ESTIMADA,2861.1998042019086,2702,3882,3545.789784431851,2335.9697832471657
ok,Oruro,Santuario de Quillacas,oruro|santuario de quillacas,PIB_USD2017,11212443.016884403,POB_ESTIMADA,6397.135896770258,4051,5161,4857.814815841433,2308.1248343021225
ok,Oruro,Pampa Aullagas,oruro|pampa aullagas,PIB_USD2017,5255270.56230173,POB_ESTIMADA,3134.76684019514,2973,3197,3139.465424846251,1673.9380280192433
ok,Oruro,Santiago de Huari,oruro|santiago de huari,PIB_USD2017,32038323.819245134,POB_ESTIMADA,18121.79406874421,13283,13502,13446.913800442611,2382.5782104880136
ok,Oruro,Pazña,oruro|pazna,PIB_USD2017,12879177.029169727,POB_ESTIMADA,6973.374171704266,5955,4251,4624.755421527973,2784.8341923592093
ok,Chuquisaca,Sucre,chuquisaca|sucre,PIB_USD2017,858414576.1068636,POB_ESTIMADA,299617.24239084625,261622,296746,287545.9271264257,2985.3129365641935
ok,Chuquisaca,Tarabuco,chuquisaca|tarabuco,PIB_USD2017,42907913.73832583,POB_ESTIMADA,20769.89349109957,16944,13323,14148.340611612764,3032.7170454963175
ok,Chuquisaca,Yamparáez,chuquisaca|yamparaez,PIB_USD2017,26312372.98427733,POB_ESTIMADA,10196.065310786938,10111,8480,8861.258721185257,2969.37193825189
ok,Chuquisaca,Yotala,chuquisaca|yotala,PIB_USD2017,30914235.655400146,POB_ESTIMADA,11158.104983676823,9461,9256,9306.829763920921,3321.671980639746
ok,Potosí,Tacobamba,potosi|tacobamba,PIB_USD2017,15753628.98328698,POB_ESTIMADA,6984.346852747386,11835,14366,13686.549174778442,1151.0300209433178
ok,Potosí,Betanzos,potosi|betanzos,PIB_USD2017,76086740.09666157,POB_ESTIMADA,35977.43890176854,33922,31904,32396.956661857464,2348.576778084907
ok,Chuquisaca,Villa Ricardo Mugia - Icla,chuquisaca|icla,PIB_USD2017,14366028.929915205,POB_ESTIMADA,7452.8591760030495,7774,9155,8788.300442073441,1634.6765821908791
ok,Oruro,Cruz de Machacamarca,oruro|cruz de machacamarca,PIB_USD2017,8867694.3412397,POB_ESTIMADA,3008.4737077730883,1967,1517,1618.78911539853,5477.979964707485
ok,Pando,Porvenir,pando|porvenir,PIB_USD2017,27998698.453647155,POB_ESTIMADA,11050.608843727729,7948,9353,8980.02747388143,3117.88561171799
ok,La Paz,Colquiri,la paz|colquiri,PIB_USD2017,34722153.75665547,POB_ESTIMADA,16087.473648156256,19620,23505,22466.992607370456,1545.4740366658875
ok,La Paz,Santiago de Callapa,la paz|santiago de callapa,PIB_USD2017,12782537.922356054,POB_ESTIMADA,6055.321843615669,7289,8037,7843.094789442795,1629.7824093063366
ok,Cochabamba,Cochabamba,cochabamba|cochabamba,PIB_USD2017,2974353925.812473,POB_ESTIMADA,755955.8434088483,632013,665505,656969.1779756678,4527.387319717812
