gestion,codigo_entidad,nombre_entidad,total_general_ingresos,file
2026,1302,Gobierno Autónomo Municipal de Quillacollo,315423173,data\raw\sigep_2026\recursos_por_rubro\2026_1302_Gobierno_Autónomo_Municipal_de_Quillacollo_recursos_por_rubro.pdf
2026,1303,Gobierno Autónomo Municipal de Sipe Sipe,70839127,data\raw\sigep_2026\recursos_por_rubro\2026_1303_Gobierno_Autónomo_Municipal_de_Sipe_Sipe_recursos_por_rubro.pdf
2026,1304,Gobierno Autónomo Municipal de Tiquipaya,128326653,data\raw\sigep_2026\recursos_por_rubro\2026_1304_Gobierno_Autónomo_Municipal_de_Tiquipaya_recursos_por_rubro.pdf
2026,1305,Gobierno Autónomo Municipal de Vinto,81379151,data\raw\sigep_2026\recursos_por_rubro\2026_1305_Gobierno_Autónomo_Municipal_de_Vinto_recursos_por_rubro.pdf
2026,1306,Gobierno Autónomo Municipal de Colcapirhua,136788496,data\raw\sigep_2026\recursos_por_rubro\2026_1306_Gobierno_Autónomo_Municipal_de_Colcapirhua_recursos_por_rubro.pdf
2026,1307,Gobierno Autónomo Municipal de Aiquile,25748151,data\raw\sigep_2026\recursos_por_rubro\2026_1307_Gobierno_Autónomo_Municipal_de_Aiquile_recursos_por_rubro.pdf
2026,1308,Gobierno Autónomo Municipal de Pasorapa,6595000,data\raw\sigep_2026\recursos_por_rubro\2026_1308_Gobierno_Autónomo_Municipal_de_Pasorapa_recursos_por_rubro.pdf
2026,1309,Gobierno Autónomo Municipal de Omereque,8441040,data\raw\sigep_2026\recursos_por_rubro\2026_1309_Gobierno_Autónomo_Municipal_de_Omereque_recursos_por_rubro.pdf
2026,1310,Gobierno Autónomo Municipal de Independencia,25066704,data\raw\sigep_2026\recursos_por_rubro\2026_1310_Gobierno_Autónomo_Municipal_de_Independencia_recursos_por_rubro.pdf
2026,1311,Gobierno Autónomo Municipal de Morochata,24730065,data\raw\sigep_2026\recursos_por_rubro\2026_1311_Gobierno_Autónomo_Municipal_de_Morochata_recursos_por_rubro.pdf
2026,1312,Gobierno Autónomo Municipal de Sacaba,330508349,data\raw\sigep_2026\recursos_por_rubro\2026_1312_Gobierno_Autónomo_Municipal_de_Sacaba_recursos_por_rubro.pdf
2026,1313,Gobierno Autónomo Municipal de Colomi,20489492,data\raw\sigep_2026\recursos_por_rubro\2026_1313_Gobierno_Autónomo_Municipal_de_Colomi_recursos_por_rubro.pdf
2026,1314,Gobierno Autónomo Municipal de Villa Tunari,106261435,data\raw\sigep_2026\recursos_por_rubro\2026_1314_Gobierno_Autónomo_Municipal_de_Villa_Tunari_recursos_por_rubro.pdf
2026,1315,Gobierno Autónomo Municipal de Punata,62651031,data\raw\sigep_2026\recursos_por_rubro\2026_1315_Gobierno_Autónomo_Municipal_de_Punata_recursos_por_rubro.pdf
2026,1316,Gobierno Autónomo Municipal de Villa Rivero,8682894,data\raw\sigep_2026\recursos_por_rubro\2026_1316_Gobierno_Autónomo_Municipal_de_Villa_Rivero_recursos_por_rubro.pdf
