codigo_entidad,nombre_entidad,grupo_1_detalle,grupo_2_detalle,grupo_3_detalle,grupo_4_detalle,grupo_5_detalle,grupo_6_detalle,grupo_7_detalle,grupo_8_detalle,grupo_9_detalle,total_detalle,grupo_1_pdf,grupo_2_pdf,grupo_3_pdf,grupo_4_pdf,grupo_5_pdf,grupo_6_pdf,grupo_7_pdf,grupo_8_pdf,grupo_9_pdf,total_pdf,grupo_1_diff,grupo_2_diff,grupo_3_diff,grupo_4_diff,grupo_5_diff,grupo_6_diff,grupo_7_diff,grupo_8_diff,grupo_9_diff,total_diff
1257,Gobierno Autónomo Municipal de Irupana (Villa de Lanza),7554087,5302948,5664213,3245079,0,1816434,836926,8500,2050172,26478359,7554087,5302948,5664213,3245079,0,1816434,836926,8500,2050172,26478359,0,0,0,0,0,0,0,0,0,0
1258,Gobierno Autónomo Municipal de Yanacachi,1716426,1687137,2270064,194507,0,211764,258895,0,1793751,8132544,1716426,1687137,2270064,194507,0,211764,258895,0,1793751,8132544,0,0,0,0,0,0,0,0,0,0
1259,Gobierno Autónomo Municipal de Palos Blancos,4104918,14199639,9339918,18634054,185800,67220,922986,0,0,47454535,4104918,14199639,9339918,18634054,185800,67220,922986,0,0,47454535,0,0,0,0,0,0,0,0,0,0
1260,Gobierno Autónomo Municipal de La Asunta,9360439,12684488,11603854,15337887,0,2346170,1134663,0,6171856,58639357,9360439,12684488,11603854,15337887,0,2346170,1134663,0,6171856,58639357,0,0,0,0,0,0,0,0,0,0
1261,Gobierno Autónomo Municipal de Pucarani,6273426,5147388,15477861,19200465,17950049,415023,1278416,0,0,65742628,6273426,5147388,15477861,19200465,17950049,415023,1278416,0,0,65742628,0,0,0,0,0,0,0,0,0,0
1262,Gobierno Autónomo Municipal de Laja,5315891,4988428,50952,6016152,0,0,1030461,0,34700432,52102316,5315891,4988428,50952,6016152,0,0,1030461,0,34700432,52102316,0,0,0,0,0,0,0,0,0,0
1263,Gobierno Autónomo Municipal de Batallas,4261444,5382464,5796509,10125430,0,264207,599248,0,4131402,30560704,4261444,5382464,5796509,10125430,0,264207,599248,0,4131402,30560704,0,0,0,0,0,0,0,0,0,0
1264,Gobierno Autónomo Municipal de Puerto Pérez,1307645,2098902,2226565,792319,0,116488,186254,0,1220183,7948356,1307645,2098902,2226565,792319,0,116488,186254,0,1220183,7948356,0,0,0,0,0,0,0,0,0,0
1265,Gobierno Autónomo Municipal de Coroico,5594473,7168396,8046053,2439344,0,100347,771148,0,3805490,27925251,5594473,7168396,8046053,2439344,0,100347,771148,0,3805490,27925251,0,0,0,0,0,0,0,0,0,0
1266,Gobierno Autónomo Municipal de Coripata,5914457,5221600,6633173,4780205,2391000,1614518,736819,0,0,27291772,5914457,5221600,6633173,4780205,2391000,1614518,736819,0,0,27291772,0,0,0,0,0,0,0,0,0,0
1267,Gobierno Autónomo Municipal de Ixiamas,2050789,5268917,2754258,10060527,0,686247,405001,0,2001969,23227708,2050789,5268917,2754258,10060527,0,686247,405001,0,2001969,23227708,0,0,0,0,0,0,0,0,0,0
1268,Gobierno Autónomo Municipal de San Buenaventura,1192927,5634194,2624565,24000,0,446749,354102,0,0,10276537,1192927,5634194,2624565,24000,0,446749,354102,0,0,10276537,0,0,0,0,0,0,0,0,0,0
1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),1767713,3652033,3999173,1217596,0,300000,352869,0,4476797,15766181,1767713,3652033,3999173,1217596,0,300000,352869,0,4476797,15766181,0,0,0,0,0,0,0,0,0,0
1270,Gobierno Autónomo Municipal de Curva,964173,1631251,1696600,2285489,0,0,124777,0,2459493,9161783,964173,1631251,1696600,2285489,0,0,124777,0,2459493,9161783,0,0,0,0,0,0,0,0,0,0
1271,Gobierno Autónomo Municipal de San Pedro de Curahuara,1587057,1633437,2781817,2295817,691494,1053933,336099,6300,0,10385954,1587057,1633437,2781817,2295817,691494,1053933,336099,6300,0,10385954,0,0,0,0,0,0,0,0,0,0
1272,Gobierno Autónomo Municipal de Papel Pampa,1090721,1849627,1871779,304626,0,123569,157247,0,1872030,7269599,1090721,1849627,1871779,304626,0,123569,157247,0,1872030,7269599,0,0,0,0,0,0,0,0,0,0
1273,Gobierno Autónomo Municipal de Chacarilla,412588,0,265407,0,0,0,41660,0,1454600,2174255,412588,0,265407,0,0,0,41660,0,1454600,2174255,0,0,0,0,0,0,0,0,0,0
1274,Gobierno Autónomo Municipal de Santiago de Machaca,1008525,2404261,1780342,5322476,0,290000,196549,0,703325,11705478,1008525,2404261,1780342,5322476,0,290000,196549,0,703325,11705478,0,0,0,0,0,0,0,0,0,0
1275,Gobierno Autónomo Municipal de Catacora,821605,1028355,941280,49944,1927908,27778,93516,0,0,4890386,821605,1028355,941280,49944,1927908,27778,93516,0,0,4890386,0,0,0,0,0,0,0,0,0,0
