status,departamento_pob2021,municipio_pob2021,pob2021_key,poblacion_proyectada_2021,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo
match_exacto,Cochabamba,Shinahota,shinahota,26026,1347,Gobierno Autónomo Municipal de Shinahota,Cochabamba,GAM,municipal
match_exacto,Oruro,Oruro,oruro,345802,1401,Gobierno Autónomo Municipal de Oruro,Oruro,GAM,municipal
match_exacto,Oruro,Caracollo,caracollo,21251,1402,Gobierno Autónomo Municipal de Caracollo,Oruro,GAM,municipal
match_exacto,Oruro,El Choro,el choro,3534,1403,Gobierno Autónomo Municipal de El Choro,Oruro,GAM,municipal
match_exacto,Oruro,Soracachi,soracachi,12074,1435,Gobierno Autónomo Municipal de Soracachi,Oruro,GAM,municipal
match_exacto,Oruro,Challapata,challapata,32762,1404,Gobierno Autónomo Municipal de Challapata,Oruro,GAM,municipal
match_contiene,Oruro,Quillacas,quillacas,3925,1405,Gobierno Autónomo Municipal de Santuario de Quillacas,Oruro,GAM,municipal
match_exacto,Oruro,Corque,corque,7776,1414,Gobierno Autónomo Municipal de Corque,Oruro,GAM,municipal
match_exacto,Oruro,Choque Cota,choquecota,991,1415,Gobierno Autónomo Municipal de Choquecota,Oruro,GAM,municipal
match_exacto,Oruro,Curahuara de Carangas,curahuara de carangas,4307,1416,Gobierno Autónomo Municipal de Curahuara de Carangas,Oruro,GAM,municipal
match_exacto,Oruro,Turco,turco,3325,1417,Gobierno Autónomo Municipal de Turco,Oruro,GAM,municipal
match_exacto,Oruro,Huachacalla,huachacalla,1492,1418,Gobierno Autónomo Municipal de Huachacalla,Oruro,GAM,municipal
match_exacto,Oruro,Escara,escara,1446,1419,Gobierno Autónomo Municipal de Escara,Oruro,GAM,municipal
match_exacto,Oruro,Cruz de Machacamarca,cruz de machacamarca,538,1420,Gobierno Autónomo Municipal de Cruz de Machacamarca,Oruro,GAM,municipal
match_exacto,Oruro,Yunguyo de Litoral,yunguyo de litoral,459,1421,Gobierno Autónomo Municipal de Yunguyo de Litoral,Oruro,GAM,municipal
match_exacto,Oruro,Esmeralda,esmeralda,1088,1422,Gobierno Autónomo Municipal de Esmeralda,Oruro,GAM,municipal
match_contiene,Oruro,Poopó,poopo,7032,1408,Gobierno Autónomo Municipal de Poopó (Villa Poopó),Oruro,GAM,municipal
match_exacto,Oruro,Pazña,pazna,5499,1409,Gobierno Autónomo Municipal de Pazña,Oruro,GAM,municipal
match_exacto,Oruro,Antequera,antequera,3358,1410,Gobierno Autónomo Municipal de Antequera,Oruro,GAM,municipal
match_exacto,Oruro,Huanuni,huanuni,25683,1406,Gobierno Autónomo Municipal de Huanuni,Oruro,GAM,municipal
match_exacto,Oruro,Machacamarca,machacamarca,5685,1407,Gobierno Autónomo Municipal de Machacamarca,Oruro,GAM,municipal
match_exacto,Oruro,Salinas de García Mendoza,salinas,9925,3402,Gobierno Autónomo Indígena Originario Campesino de Salinas,Oruro,GAIOC,indigena_originario_campesino
match_exacto,Oruro,Pampa Aullagas,pampa aullagas,3064,1427,Gobierno Autónomo Municipal de Pampa Aullagas,Oruro,GAM,municipal
match_exacto,Oruro,Sabaya,sabaya,6419,1431,Gobierno Autónomo Municipal de Sabaya,Oruro,GAM,municipal
match_exacto,Oruro,Coipasa,coipasa,694,1432,Gobierno Autónomo Municipal de Coipasa,Oruro,GAM,municipal
match_manual,Oruro,Chipaya,chipaya,1837,3401,Gobierno Autónomo Indígena Originario Campesino de la Nación Originaria Uru,Oruro,GAIOC,indigena_originario_campesino
match_exacto,Oruro,Toledo,toledo,6424,1423,Gobierno Autónomo Municipal de Toledo,Oruro,GAM,municipal
match_exacto,Oruro,Eucaliptus,eucaliptus,5172,1411,Gobierno Autónomo Municipal de Eucaliptus,Oruro,GAM,municipal
match_contiene,Oruro,Santiago de Andamarca,santiago de andamarca,4358,1424,Gobierno Autónomo Municipal de Andamarca (Santiago de Andamarca),Oruro,GAM,municipal
match_exacto,Oruro,Belén de Andamarca,belen de andamarca,1526,1425,Gobierno Autónomo Municipal de Belén de Andamarca,Oruro,GAM,municipal
match_manual,Oruro,San Pedro de Totora,san pedro de totora,4724,1413,Gobierno Autónomo Municipal de Totora,Oruro,GAM,municipal
match_contiene,Oruro,Huari,huari,10073,1412,Gobierno Autónomo Municipal de Santiago de Huari,Oruro,GAM,municipal
match_exacto,Oruro,La Rivera,la rivera,383,1428,Gobierno Autónomo Municipal de La Rivera,Oruro,GAM,municipal
match_exacto,Oruro,Todos Santos,todos santos,535,1429,Gobierno Autónomo Municipal de Todos Santos,Oruro,GAM,municipal
match_exacto,Oruro,Carangas,carangas,563,1430,Gobierno Autónomo Municipal de Carangas,Oruro,GAM,municipal
match_contiene,Oruro,Huayllamarca,huayllamarca,4813,1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),Oruro,GAM,municipal
match_exacto,Potosí,Potosí,potosi,264402,1501,Gobierno Autónomo Municipal de Potosí,Potosí,GAM,municipal
match_exacto,Potosí,Tinguipaya,tinguipaya,23088,1502,Gobierno Autónomo Municipal de Tinguipaya,Potosí,GAM,municipal
match_exacto,Potosí,Yocalla,yocalla,7677,1503,Gobierno Autónomo Municipal de Yocalla,Potosí,GAM,municipal
match_exacto,Potosí,Urmiri,urmiri,2066,1504,Gobierno Autónomo Municipal de Urmiri,Potosí,GAM,municipal
match_exacto,Potosí,Uncía,uncia,22758,1505,Gobierno Autónomo Municipal de Uncía,Potosí,GAM,municipal
match_exacto,Potosí,Chayanta,chayanta,16256,1506,Gobierno Autónomo Municipal de Chayanta,Potosí,GAM,municipal
match_exacto,Potosí,Llallagua,llallagua,50085,1507,Gobierno Autónomo Municipal de Llallagua,Potosí,GAM,municipal
