status,departamento_pibpc,provincia_pibpc,municipio_pibpc,municipio_alt_pibpc,pibpc_key,pibpc_alt_key,pib_usd2017,poblacion_estimada_2021,pibpc_usd2017,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo,presupuesto_total_sigep
match_exacto,La Paz,General José Manuel Pand,Santiago de Machaca,Santiago de Machaca,santiago de machaca,santiago de machaca,11590507.353724334,5718.936393103377,2026.6893277046493,1274,Gobierno Autónomo Municipal de Santiago de Machaca,La Paz,GAM,municipal,11705478.0
match_exacto,Oruro,Pantaleón Dalence,Machacamarca,Machacamarca,machacamarca,machacamarca,11748802.070564335,5208.69019722027,2255.6154475907088,1407,Gobierno Autónomo Municipal de Machacamarca,Oruro,GAM,municipal,8232802.0
match_exacto,Potosí,General Bilbao,Arampampa,Arampampa,arampampa,arampampa,15564759.9745912,4827.068793707519,3224.474446040865,1533,Gobierno Autónomo Municipal de Arampampa,Potosí,GAM,municipal,3773629.0
match_exacto,Cochabamba,Esteban Arze,Sacabamba,Sacabamba,sacabamba,sacabamba,12495451.462231832,6989.558020935656,1787.7312735375406,1323,Gobierno Autónomo Municipal de Sacabamba,Cochabamba,GAM,municipal,4648017.0
match_exacto,Cochabamba,Esteban Arze,Anzaldo,Anzaldo,anzaldo,anzaldo,20298442.670352478,11016.422877747866,1842.5620453762183,1321,Gobierno Autónomo Municipal de Anzaldo,Cochabamba,GAM,municipal,7446837.0
match_exacto,Cochabamba,Germán Jordán,Toco,Toko,toco,toko,19797162.7319644,6838.797151367369,2894.831107544416,1325,Gobierno Autónomo Municipal de Toco,Cochabamba,GAM,municipal,10016954.0
match_contiene,Cochabamba,Punata,Villa Gualberto Villarroel,Cuchumuela (V. G.Villarroel),villa gualberto villarroel,cuchumuela v g villarroel,10004504.486946754,3627.19155699564,2758.1957913558244,1319,Gobierno Autónomo Municipal Villa Gualberto Villarroel,Cochabamba,GAM,municipal,4771498.0
match_exacto,Cochabamba,Punata,Tacachi,Tacachi,tacachi,tacachi,4934438.234065651,1706.493190204396,2891.5663199773016,1318,Gobierno Autónomo Municipal de Tacachi,Cochabamba,GAM,municipal,1363498.0
match_exacto,Cochabamba,Punata,Villa Rivero,Villa Rivero,villa rivero,villa rivero,26509591.658323005,9157.560725817322,2894.831107544416,1316,Gobierno Autónomo Municipal de Villa Rivero,Cochabamba,GAM,municipal,8682894.0
match_exacto,Cochabamba,Germán Jordán,Cliza,Cliza,cliza,cliza,76724120.07844546,26503.832945034177,2894.831107544416,1324,Gobierno Autónomo Municipal de Cliza,Cochabamba,GAM,municipal,36582558.0
match_exacto,Cochabamba,Arque,Tacopaya,Tacopaya,tacopaya,tacopaya,24139999.564125534,10773.660052485526,2240.6498299114555,1339,Gobierno Autónomo Municipal de Tacopaya,Cochabamba,GAM,municipal,10749066.0
match_exacto,Oruro,Cercado,El Choro,El Choro,el choro,el choro,13406947.875092614,5868.549741887114,2284.5419166169363,1403,Gobierno Autónomo Municipal de El Choro,Oruro,GAM,municipal,11860727.0
match_exacto,Oruro,Saucarí,Toledo,Toledo,toledo,toledo,30483147.232490417,11294.577036296316,2698.918882445053,1423,Gobierno Autónomo Municipal de Toledo,Oruro,GAM,municipal,13414809.0
match_exacto,Cochabamba,Capinota,Santivañez,Santivañez,santivanez,santivanez,24054837.771163154,6584.752330035002,3653.112002624902,1328,Gobierno Autónomo Municipal de Santivañez,Cochabamba,GAM,municipal,11361634.0
